printed ,isRWE,isNNSponsored,isUSbasedStudy,changesNotes,isPhase3Trial,product,authors,articleTitle,studyTitle,clinicalTrialsIdentifier,pubmedLink,patientsOnNovoProduct,patientsOnComparitorProduct,treatmentArm1,treatmentArm2,treatmentArm3,treatmentArm4,treatmentArm5,backgroundMedications,objective,studyDesign,authorsConclusion,abstract,pubmedMESHkeywords,isBurdenOfDisease,isEpidemiology,isCost,isA1C,isWeightChange,isHypoglycemia ,isCardioVascular ,isAdherencePersistance ,isHealthEconomicEvaluation ,journal,volume,issue,pages,publicationYear,publicationType,language,fullCitationAndDOI,affiliations,isComparativeEffectiveness ,isLongTermStudies ,isShortTermStudies ,subPopulation ,isMetaAnalysis 
,N,Y,Y,,Y,Liraglutide,Pratley RE et al,"Liraglutide versus sitagliptin for patients with type 2 diabetes who did not have adequate glycaemic control with metformin: a 26-week, randomised, parallel-group, open-label trial.","The Effect of Liraglutide Compared to Sitagliptin, Both in Combination With Metformin on Glycaemic Control in Subjects With Type 2 Diabetes Mellitus",NCT00700817,https://www.ncbi.nlm.nih.gov/pubmed/20417856 ,446,219,liraglutide 1.2 mg,liraglutide 1.8 mg,sitagliptin 100 mg,,,metformin,"To assess the efficacy and safety of the human GLP-1 analogue liraglutide versus the DPP-4 inhibitor sitagliptin, as adjunct treatments to metformin, in individuals with type 2 diabetes who did not achieve adequate glycaemic control with metformin alone.","active comparator, parallel-group, open-label trial","Liraglutide was superior to sitagliptin for reduction of HbA(1c), and was well tolerated with minimum risk of hypoglycaemia. These findings support the use of liraglutide as an effective GLP-1 agent to add to metformin.",,,,,,,,,,,,,,,,,,,,,,,,,
Y,Y,Y,Y,Affiliation found in fulltext,,liraglutide,"Li, Q.; Chitnis, A.; Hammer, M.; Langer, J.",Real-world clinical and economic outcomes of liraglutide versus sitagliptin in patients with type 2 diabetes mellitus in the United States,,,https://www.ncbi.nlm.nih.gov/pubmed/25256818,,,,,,,,,The objective of this study was to compare the clinical effectiveness of liraglutide with sitagliptin and assess the associated economic outcomes in patients with type 2 diabetes mellitus (T2DM) treated in real-world practice in the United States (US).,Retrospective cohort,"Liraglutide showed greater improvement in glycemic outcomes than sitagliptin among adult patients with T2DM in real-world clinical practice. Although diabetes-related pharmacy costs for patients using liraglutide were higher compared with sitagliptin, these were offset by significantly lower diabetes-related medical costs, resulting in similar total diabetes-related costs between the two treatment groups.","INTRODUCTION: The objective of this study was to compare the clinical effectiveness of liraglutide with sitagliptin and assess the associated economic outcomes in patients with type 2 diabetes mellitus (T2DM) treated in real-world practice in the United States (US). METHODS: This retrospective cohort study used a large US claims database to identify patients with T2DM who initiated liraglutide or sitagliptin between January 2010 and December 2012. Adults (>/=18 years old) with persistent use of therapy for >/=3 months were included. Changes in glycated hemoglobin A1c (A1C) and the proportion of patients achieving A1C targets (</=6.5% and <7%) were examined at 6-month follow-up. Diabetes-related total, medical, and pharmacy costs over the follow-up period were assessed. Multivariable regression models were used to estimate the outcomes associated with liraglutide relative to sitagliptin, adjusting for differences in patient demographics and clinical characteristics. RESULTS: The study included 1,465 patients with T2DM who initiated liraglutide (N = 376) or sitagliptin (N = 1,089) (mean age [standard deviation (SD)]: 54 [8.9] vs. 58 [10.8] years; 43.9% vs. 61.8% males; both P < 0.01). After controlling for confounding factors, liraglutide patients experienced 0.31% points greater reduction in A1C (0.95% vs. 0.63% points; P < 0.01) at 6-month follow-up than sitagliptin patients and were more likely to reach A1C targets of </=6.5% (odds ratio [OR]: 2.00; P < 0.01) and <7% (OR: 1.55; P < 0.01). Liraglutide patients had $994 lower mean diabetes-related medical costs ($1,241 vs. $2,235; P < 0.01), but $544 higher diabetes-related pharmacy costs ($2,100 vs. $1,556; P < 0.01) during the follow-up. No difference was found in the total mean diabetes-related costs between the two cohorts. CONCLUSION: Liraglutide showed greater improvement in glycemic outcomes than sitagliptin among adult patients with T2DM in real-world clinical practice. Although diabetes-related pharmacy costs for patients using liraglutide were higher compared with sitagliptin, these were offset by significantly lower diabetes-related medical costs, resulting in similar total diabetes-related costs between the two treatment groups.","Clinical effectiveness; Comparative effectiveness; Costs; Glycated hemoglobin A1c (A1C); Liraglutide; Sitagliptin; Type 2 diabetes mellitus
",x,,x,x,,,,,x,Diabetes Ther,5,2,579-90,2014,Journal Article,eng,"Li, Qian; Chitnis, Abhishek; Hammer, Mette; Langer, Jakob; Journal Article; United States; Diabetes Ther. 2014 Dec;5(2):579-90. doi: 10.1007/s13300-014-0084-9. Epub 2014 Sep 26.","Evidera, Lexington, MA, USA, Qian.Li@evidera.com.; Novo Nordisk Inc.PlainsboroUSA",x,,x,,
,N,Y,N,,Y,Liraglutide,Russell-Jones D et al,Liraglutide vs insulin glargine and placebo in combination with metformin and sulfonylurea therapy in type 2 diabetes mellitus (LEAD-5 met+SU): a randomised controlled trial. ,LEAD-5 met+SU,NCT00331851,https://www.ncbi.nlm.nih.gov/pubmed/19688338 ,232,"349 (115, 234)",liraglutide 1.8 mg,liraglutide placebo   ,open-label insulin glargine,,,metformin + glimepiride,"To compare the efficacy and safety of liraglutide in type 2 diabetes mellitus vs placebo and insulin glargine (A21Gly,B31Arg,B32Arg human insulin), all in combination with metformin and glimepiride.","randomised, parallel-group, controlled 26 week trial ",Liraglutide added to metformin and sulfonylurea produced significant improvement in glycaemic control and bodyweight compared with placebo and insulin glargine. The difference vs insulin glargine in HbA(1c) was within the predefined non-inferiority margin.,,,,,,,,,,,,,,,,,,,,,,,,,
,N,Y,N,,Y,Semaglitude,Sorli C et al,"Efficacy and safety of once-weekly semaglutide monotherapy versus placebo in patients with type 2 diabetes (SUSTAIN 1): a double-blind, randomised, placebo-controlled, parallel-group, multinational, multicentre phase 3a trial. ",SUSTAIN-1,NCT02054897,https://www.ncbi.nlm.nih.gov/pubmed/28110911,"258 (128, 130)",129,semaglutide 0.5 mg,semaglutide 1.0 mg,volume matchedplacebo (0.5 mg)  ,volume matched placebo (1.0 mg) ,,none,"To assess the efficacy, safety, and tolerability of semaglutide monotherapy, compared with placebo, in treatment-naive patients with type 2 diabetes who had insufficient glycaemic control with diet and exercise alone.","double-blind, randomised, parallel-group, international, placebo-controlled phase 3a trial ","Semaglutide significantly improved HbA1c and bodyweight in patients with type 2 diabetes compared with placebo, and showed a similar safety profile to currently available GLP-1 receptor agonists, representing a potential treatment option for such patients.",,,,,,,,,,,,,,,,,,,,,,,,,
,N,Y,N,,Y,Liraglutide,Zinman B et al,Efficacy and safety of the human glucagon-like peptide-1 analog liraglutide in combination with metformin and thiazolidinedione in patients with type 2 diabetes (LEAD-4 Met+TZD). ,LEAD-4 Met+TZD,NCT00333151,https://www.ncbi.nlm.nih.gov/pubmed/19289857 ,"356 (178, 178)",177,liraglutide 1.2 mg,liraglutide 1.8 mg,liraglutide placebo,,,metformin + rosiglitazone,To determine the efficacy and safety of liraglutide (a glucagon-like peptide-1 receptor agonist) when added to metformin and rosiglitazone in type 2 diabetes.,"26-week, double-blind, placebo-controlled, parallel-group trial ","Liraglutide combined with metformin and a thiazolidinedione is a well-tolerated combination therapy for type 2 diabetes, providing significant improvements in glycemic control.",,,,,,,,,,,,,,,,,,,,,,,,,
Y,Y,Y,Y,added; multi country; funding by NN found in fulltext article only.,,,"Brod, Meryl; Christensen, Torsten; Thomsen, Trine L; Bushnell, Donald M.",The impact of non-severe hypoglycemic events on work productivity and diabetes management.,,,https://www.ncbi.nlm.nih.gov/pubmed/21839404,,,,,,,,,"Hypoglycemia is a common complication of treatment with certain diabetes drugs. Non-severe hypoglycemic events (NSHEs) occur more frequently than severe events and account for the majority of total events. The objective of this multi-country study was to identify how NSHEs in a working population affect productivity, costs, and self-management behaviors.",Multicenter study,"NSHEs are associated with substantial economic consequences for employers and patients. Greater attention to treatments that reduce NSHEs could have a major, positive impact on lost work productivity and overall diabetes management.","A 20-minute survey assessing the impact of NSHEs was administered via the Internet to individuals (≥ 18 years of age) with self-reported diabetes in the United States, United Kingdom, Germany, and France. The analysis sample consisted of all respondents who reported an NSHE in the past month. Topics included: reasons for, duration of, and impact of NSHE(s) on productivity and diabetes self-management.","Absenteeism; Cost of illness; Diabetes Mellitus, Type 2/economics; Health Care Surveys",x,,x,,,x,,,,Value Health,14,5,665-71,2011,Journal Article,eng,"Value Health. 14(5):665-71, 2011 Jul-Aug.","The Brod Group, Mill Valley, CA 94941, USA. mbrod@thebrodgroup.net; This study was funded by Novo Nordisk.",,,x,,
Y,Y,Y,Y,Sponsorship provided in fulltext,,Liraglutide,"Buysman, E. K.; Liu, F.; Hammer, M.; Langer, J.",Impact of medication adherence and persistence on clinical and economic outcomes in patients with type 2 diabetes treated with liraglutide: a retrospective cohort study,,,https://www.ncbi.nlm.nih.gov/pubmed/25832470,,,,,,,,,This study examines how adherence and persistence to once-daily liraglutide impact glycemic control and economic outcomes in a real-world population of adult type 2 diabetes (T2D) patients.,"Cohort
Retrospective",Adherence and persistence to liraglutide are associated with improved A1C outcomes. Persistent patients showed significantly lower medical costs versus those discontinuing liraglutide. Total healthcare costs were higher for adherent and persistent cohorts driven by higher pharmacy costs.,"INTRODUCTION: Adherence to diabetes medication has been linked to improved glycemic levels and lower costs, but previous research on adherence has typically involved oral antidiabetic medication or insulin. This study examines how adherence and persistence to once-daily liraglutide impact glycemic control and economic outcomes in a real-world population of adult type 2 diabetes (T2D) patients. METHODS: A retrospective cohort study using administrative claims data from July 2009 through September 2013. Patients aged >/=18 years with T2D treated with liraglutide were identified (index date = first liraglutide prescription). Adherence was based on the proportion of days covered (PDC); with PDC >/=0.80 classified as adherent. Non-persistent patients were those with a gap in therapy of >90 days. Lab results for glycated hemoglobin (A1C) were used to identify whether patients achieved target levels of <7.0% and </= 6.5%, or experienced a reduction of >/=1.0% in A1C from pre-index (baseline) to post-index (follow-up). Logistic regression was used to estimate the likelihood of achieving the A1C goals, adjusted for baseline characteristics. Diabetes-related medical, pharmacy, and total costs were modeled and estimated for the adherence and persistence cohorts. RESULTS: A total of 1321 patients were identified. The mean PDC was 0.59 and 34% of patients were classified as adherent, while 60% were persistent over 12 months of follow-up. Adherent and persistent patients were more likely to achieve each of the A1C goals than their non-adherent and non-persistent counterparts after adjusting for patient characteristics. Adherence and persistence were associated with higher adjusted diabetes-related pharmacy and total healthcare costs during follow-up; whereas persistent patients had significantly lower diabetes-related medical costs than non-persistent patients. CONCLUSIONS: Adherence and persistence to liraglutide are associated with improved A1C outcomes. Persistent patients showed significantly lower medical costs versus those discontinuing liraglutide. Total healthcare costs were higher for adherent and persistent cohorts driven by higher pharmacy costs.","Adolescent; Adult; Aged; Blood Glucose; Cohort Studies; Diabetes Mellitus, Type 2/*drug therapy/*economics; Female; Health Expenditures; Hemoglobin A, Glycosylated; Humans; Hypoglycemic Agents/administration & dosage/*therapeutic use; Liraglutide/administration & dosage/*therapeutic use; Logistic Models; Male; Medication Adherence/*statistics & numerical data; Middle Aged; Retrospective Studies; Young Adult",,,,x,,,,x,x,Adv Ther,32,4,341-55,2015,Journal Article,eng,"1865-8652; Buysman, Erin K; Liu, Fang; Hammer, Mette; Langer, Jakob; Journal Article; Research Support, Non-U.S. Gov't; United States; Adv Ther. 2015 Apr;32(4):341-55. doi: 10.1007/s12325-015-0199-z. Epub 2015 Apr 2.","Optum, MN002-0258, 12125 Technology Drive, Eden Prairie, MN, 55344, USA, erin.buysman@optum.com.; Funding for this study and article processing charges were provided by Novo Nordisk, Inc., Plainsboro, New Jersey, USA. ",,x,,,
Y,Y,Y,Y,Information from DOI in Quosa document,,Liraglutide,"Chitnis A., Ganz M, Hammer M., Langer J.","Real-World Clinical Effectiveness of Liraglutide in Individuals 65 Years and Older with Type 2 Diabetes in the United
States",,,Not available,,,,,,,,,"Clinical trials have shown that liraglutide effectively lowers A1C levels and helps manage weight in Type 2 diabetes (T2D). Currently, no studies have solely evaluated the real-world clinical effectiveness of liraglutide in a T2D population of individuals 65 years and older. We examined the clinical effectiveness of liraglutide in individuals aged 65 years and older with T2D 6 and 12 months after starting therapy. ","Cohort
Retrospective",Individuals with T2D 65 years and older experienced a significant and sustained reduction in A1C and weight over 6 and 12 months without any occurrence of severe hypoglycemia.,"In this retrospective cohort study we used the General Electric Centricity electronic medical records database. We included individuals with T2D aged 65 years and older who initiated liraglutide at any time from January 1, 2010 to January 31, 2013. Individuals using either insulin or a glucagon-like peptide-1 analogue during 12 months before initiating liraglutide were excluded. Changes in A1C, weight, the proportion of individuals achieving a target A1C<7% and occurrence of severe hypoglycemic events at 6 and 12 months were evaluated. ",Liraglutide; Type 2 diabetes; Elderly; A1C; Weight; Severe hypoglycemia; Clinical effectiveness,,,,x,,x,,,,J Diabetes Metab,5,,403,2014,,,J Diabetes Metab 5:403. doi:10.4172/2155-6156.1000403,"Evidera, Lexington, MA, USA
Novo Nordisk Inc., Plainsboro, NJ, USA",,x,x,elderly,
Y,Y,Y,Y,,,Liraglutide,"Chitnis, A. S.; Ganz, M. L.; Benjamin, N.; Langer, J.; Hammer, M.",Clinical effectiveness of liraglutide across body mass index in patients with type 2 diabetes in the United States: a retrospective cohort study,,,https://www.ncbi.nlm.nih.gov/pubmed/25245811,,,,,,,,,This study examined liraglutide's clinical effectiveness to lower A1C and body weight after 6 months in T2D patients stratified by baseline BMI.,Retrospective cohort,Patients with T2D experienced statistically significant decreases in A1C and body weight after initiating liraglutide regardless of their BMI. Liraglutide reduced A1C equally well across baseline BMI in clinical practice in the US.,"INTRODUCTION: Clinical trials have shown that liraglutide effectively lowers glycated hemoglobin A1c (A1C) levels in adult patients with type 2 diabetes (T2D). However, no studies have evaluated the effectiveness of liraglutide by body mass index (BMI) in the United States (US) in clinical practice. This study examined liraglutide's clinical effectiveness to lower A1C and body weight after 6 months in T2D patients stratified by baseline BMI. METHODS: This was a retrospective cohort study using the General Electric Centricity electronic medical records database. Adult patients with T2D (>/=18 years and BMI>/= 25 kg/m(2)) and A1C >7% at baseline who started liraglutide between January 1, 2010 and January 31, 2013 and who did not use insulin or a glucagon-like peptide-1 analog 12 months before initiating liraglutide (N = 3,005) were selected. Changes from baseline, stratified by BMI, in A1C, body weight, A1C <7% goal attainment, and incidence of severe hypoglycemia at 6-month follow-up were examined. RESULTS: After 6 months, A1C levels decreased on average by 0.95%, 1.02%, 0.99%, and 0.84% for BMI categories 25.0-29.9 (n = 333), 30.0-34.9 (n = 793), 35.0-39.9 (n = 821), and >/=40.0 kg/m(2) (n = 1,058), respectively (P = 0.30). The proportions of patients achieving A1C <7% at 6 months were 38.2%, 37.0%, 40.9%, and 41.0% (P = 0.54). The absolute body weight decreased by 1.5 to 4.0 kg across BMI and the rate of severe hypoglycemia (0.2%) was low. CONCLUSION: Patients with T2D experienced statistically significant decreases in A1C and body weight after initiating liraglutide regardless of their BMI. Liraglutide reduced A1C equally well across baseline BMI in clinical practice in the US.","Adolescent; Adult; Aged; Aged, 80 and over; *Body Mass Index; Body Weight; Diabetes Mellitus, Type 2/*drug therapy; Female; Hemoglobin A, Glycosylated/analysis; Humans; Hypoglycemia; Hypoglycemic Agents/*therapeutic use; Liraglutide/*therapeutic use; Male; Middle Aged; Retrospective Studies; United States; Young Adult",,,,x,x,x,,,,Adv Ther,31,9,986-99,2014,Journal Article,eng,"1865-8652; Chitnis, Abhishek S; Ganz, Michael L; Benjamin, Nicole; Langer, Jakob; Hammer, Mette; Journal Article; Research Support, Non-U.S. Gov't; United States; Adv Ther. 2014 Sep;31(9):986-99. doi: 10.1007/s12325-014-0153-5. Epub 2014 Sep 23.","Evidera, Suite 300, 430 Bedford Street, Lexington, MA, 02420, USA, abhishek.chitnis@evidera.com.; Novo Nordisk Inc.PlainsboroUSA",,,x,bmi,
Y,Y,Y,Y,NN affiliation found in fulltext,,Liraglutide,"DeKoven, M.; Lee, W. C.; Bouchard, J.; Massoudi, M.; Langer, J.",Real-world cost-effectiveness: lower cost of treating patients to glycemic goal with liraglutide versus exenatide,,,https://www.ncbi.nlm.nih.gov/pubmed/24477354,,,,,,,,,"While the liraglutide effect and action in diabetes (LEAD-6) clinical trial compared the efficacy and safety of liraglutide once daily (LIRA) to exenatide twice daily (EXEN) in adult patients with type 2 diabetes, few studies have explored the associated per-patient costs of glycemic goal achievement of their use in a real-world clinical setting. ",Retrospective cohort,"Although predicted diabetes-related pharmacy costs were greater with LIRA vs. EXEN, a higher proportion of patients on LIRA achieved A1C < 7%, resulting in a lower per-patient cost of A1C goal achievement with LIRA compared to EXEN.","INTRODUCTION: While the liraglutide effect and action in diabetes (LEAD-6) clinical trial compared the efficacy and safety of liraglutide once daily (LIRA) to exenatide twice daily (EXEN) in adult patients with type 2 diabetes, few studies have explored the associated per-patient costs of glycemic goal achievement of their use in a real-world clinical setting. METHODS: This retrospective cohort study used integrated medical and pharmacy claims linked with glycated hemoglobin A1C (A1C) results from the IMS Patient-Centric Integrated Data Warehouse. Patients' >/=18 years and naive to incretin therapies during a 6-month pre-index period, with >/=1 prescription for LIRA or EXEN between January 2010 and December 2010, were included. Patients with evidence of insulin use (pre- or post-index) were excluded. Only patients who were persistent on their index treatment during a 180-day post-index period were included. Follow-up A1C assessments were based on available laboratory data within 45 days before or after the 6-month post-index point in time. Diabetes-related pharmacy costs over the 6-month post-index period were captured and included costs for both the index drugs and concomitant diabetes medications. RESULTS: 234 LIRA and 182 EXEN patients were identified for the analysis. The adjusted predicted diabetes-related pharmacy costs per patient over the 6-month post-index period were higher for LIRA compared to EXEN ($2,002 [95% confidence interval (CI): $1,981, $2,023] vs. $1,799 [95% CI: $1,778, $1,820]; P < 0.001). However, a higher adjusted predicted percentage of patients on LIRA reached A1C < 7% goal (64.4% [95% CI: 63.5, 65.3] vs. 53.6% [95% CI: 52.6, 54.6]; P < 0.05), translating into lower average diabetes-related pharmacy costs per successfully treated patient for LIRA as compared to EXEN ($3,108 vs. $3,354; P < 0.0001). CONCLUSIONS: Although predicted diabetes-related pharmacy costs were greater with LIRA vs. EXEN, a higher proportion of patients on LIRA achieved A1C < 7%, resulting in a lower per-patient cost of A1C goal achievement with LIRA compared to EXEN.","Adolescent; Adult; Aged; Cohort Studies; Cost-Benefit Analysis; Diabetes Mellitus, Type 2/blood/drug therapy/*economics; Drug Costs; Female; Glucagon-Like Peptide 1/*analogs & derivatives/economics/therapeutic use; Hemoglobin A, Glycosylated; Humans; Hypoglycemic Agents/*economics/therapeutic use; Liraglutide; Male; Middle Aged; Peptides/*economics/therapeutic use; Retrospective Studies; Treatment Outcome; Venoms/*economics/therapeutic use; Young Adult",x,,x,x,,,,,x,Adv Ther,31,2,202-16,2014,Journal Article,eng,"1865-8652; DeKoven, Mitch; Lee, Won Chan; Bouchard, Jonathan; Massoudi, Marjan; Langer, Jakob; Comparative Study; Journal Article; Research Support, Non-U.S. Gov't; United States; Adv Ther. 2014 Feb;31(2):202-16. doi: 10.1007/s12325-014-0098-8. Epub 2014 Jan 30.","Health Economics and Outcomes Research, IMS Health, 1725 Duke Street, Suite 510, Alexandria, VA, 22314, USA, mdekoven@us.imshealth.com; Novo Nordisk Inc.PlainsboroUSA",,,x,,
Y,Y,Y,Y,,,Liraglutide,"Durden, E.; Lenhart, G.; Lopez-Gonzalez, L.; Hammer, M.; Langer, J.",Predictors of glycemic control and diabetes-related costs among type 2 diabetes patients initiating therapy with liraglutide in the United States,,,https://www.ncbi.nlm.nih.gov/pubmed/26653068,,,,,,,,,OBJECTIVE: Liraglutide has been shown to significantly improve glycemic control and reduce body weight while minimizing the risk of hypoglycemia in adult patients with type 2 diabetes (T2D). This study aimed to identify characteristics that predict clinical and economic outcomes associated with liraglutide therapy in clinical practice in the US. ,Retrospective,"Within this commercially-insured population of T2D patients treated with liraglutide, gender, baseline A1C, early liraglutide initiation (0-1 prior OADs), diabetic retinopathy, better adherence, and patient share of liraglutide costs were associated with increased odds of achieving glycemic control and the odds of having higher or lower diabetes-related costs.","OBJECTIVE: Liraglutide has been shown to significantly improve glycemic control and reduce body weight while minimizing the risk of hypoglycemia in adult patients with type 2 diabetes (T2D). This study aimed to identify characteristics that predict clinical and economic outcomes associated with liraglutide therapy in clinical practice in the US. METHODS: Using the Truven Health MarketScan Laboratory Database, glycemic control (A1C <7%) and diabetes-related costs were evaluated in T2D patients initiating liraglutide between January 1, 2010 and June 30, 2012. Patients were required to have >/=1 post-index claim for liraglutide and A1C values at baseline and 6 months follow-up. All valid values of baseline A1C were included. Patients previously treated with GLP-1 receptor agonist(s) or insulin, or with evidence of type 1 diabetes, pregnancy, or gestational diabetes during the study period were excluded. Multivariable regression models were used to identify predictors of glycemic control and diabetes-related costs. RESULTS: Of 417 patients newly treated with liraglutide, 54.0% achieved glycemic control (A1C <7%) during follow-up. Factors associated with increased odds of glycemic control during follow-up were: being female, POS/EPO health plan type, baseline A1C, early liraglutide initiation (0-1 prior oral anti diabetics [OADs] vs >/=2), adherence to liraglutide (defined as the proportion of days covered [PDC]), and diabetic retinopathy. Being female, earlier liraglutide initiation (0-1 prior OADs), and higher patient share of liraglutide costs were associated with significantly lower diabetes-related costs during follow-up. Factors associated with significantly higher post-index diabetes-related costs were: higher baseline A1C, baseline use of sulfonylureas, and diabetic retinopathy. CONCLUSIONS: Within this commercially-insured population of T2D patients treated with liraglutide, gender, baseline A1C, early liraglutide initiation (0-1 prior OADs), diabetic retinopathy, better adherence, and patient share of liraglutide costs were associated with increased odds of achieving glycemic control and the odds of having higher or lower diabetes-related costs.","Blood Glucose; Diabetes Mellitus, Type 2/*drug therapy/*economics; Female; Hemoglobin A, Glycosylated; Humans; Hypoglycemic Agents/*economics/*therapeutic use; Liraglutide/*economics/*therapeutic use; Male; Medication Adherence; Retrospective Studies; Sex Factors; United States; Diabetes-related costs; Glycemic control; Liraglutide; Predictors; Type 2 diabetes",x,,x,x,,,,,x,J Med Econ,19,4,403-13,2016,Journal Article,eng,"1941-837x; Durden, Emily; Lenhart, Greg; Lopez-Gonzalez, Lorena; Hammer, Mette; Langer, Jakob; Journal Article; Research Support, Non-U.S. Gov't; England; J Med Econ. 2016;19(4):403-13. doi: 10.3111/13696998.2015.1131703. Epub 2016 Jan 8.","a a Truven Health Analytics , Bethesda, MD , USA.; b b Novo Nordisk A/S , Denmark.",,,x,,
Y,Y,Y,Y,,,Liraglutide,"Hunt, B.; McConnachie, C. C.; Gamble, C.; Dang-Tan, T.",Evaluating the short-term cost-effectiveness of liraglutide versus lixisenatide in patients with type 2 diabetes in the United States,,,https://www.ncbi.nlm.nih.gov/pubmed/28651479,,,,,,,,,Bringing patients with type 2 diabetes to recommended glycated hemoglobin (HbA1c) treatment targets can reduce the risk of developing diabetes-related complications. The aim of the present analysis was to evaluate the short-term cost-effectiveness of once-daily liraglutide 1.8 mg vs once-daily lixisenatide 20 μg as an add-on to metformin for treatment of type 2 diabetes in the US by assessing the cost per patient achieving HbA1c-focused and composite treatment targets.,Cost-effectiveness analysis,"Once-daily liraglutide 1.8 mg was associated with greater clinical efficacy than once-daily lixisenatide 20 μg, which resulted in a lower annual cost of control for HbA1c-focused and composite treatment targets.","AIMS: Bringing patients with type 2 diabetes to recommended glycated hemoglobin (HbA1c) treatment targets can reduce the risk of developing diabetes-related complications. The aim of the present analysis was to evaluate the short-term cost-effectiveness of once-daily liraglutide 1.8 mg vs once-daily lixisenatide 20 mug as an add-on to metformin for treatment of type 2 diabetes in the US by assessing the cost per patient achieving HbA1c-focused and composite treatment targets. MATERIALS AND METHODS: Percentages of patients achieving recommended targets were obtained from the LIRA-LIXI trial, which compared the efficacy and safety of once-daily liraglutide 1.8 mg and once-daily lixisenatide 20 mug as an add-on to metformin in patients with type 2 diabetes failing to achieve glycemic control with metformin. Annual costs were estimated from a healthcare payer perspective. An economic model was developed to evaluate the annual cost per patient achieving target (cost of control) with liraglutide 1.8 mg vs lixisenatide 20 mug for five end-points. RESULTS: Annual treatment costs were higher with liraglutide 1.8 mg than lixisenatide 20 mug, but this was offset by greater clinical efficacy, and the cost of control was lower with liraglutide 1.8 mg than lixisenatide 20 mug for all five end-points. The annual cost of control was USD 3,850, USD 11,404, USD 3,807, USD 4,299, and USD 6,901 lower for liraglutide 1.8 mg than lixisenatide 20 mug for targets of HbA1c < 7.0%, HbA1c </= 6.5%, HbA1c < 7.0% and no weight gain, HbA1c < 7.0% with no weight gain and no confirmed hypoglycemia, and HbA1c < 7.0% with no weight gain and systolic blood pressure <140 mmHg, respectively. CONCLUSIONS: Once-daily liraglutide 1.8 mg was associated with greater clinical efficacy than once-daily lixisenatide 20 mug, which resulted in a lower annual cost of control for HbA1c-focused and composite treatment targets.",Cost; Cost-effectiveness; GLP-1 receptor agonist; Liraglutide; Type 2 diabetes mellitus; Usa,,,,,,,,,x,J Med Econ,,,4-Jan,2017,Journal Article,eng,"1941-837x; Hunt, B; ORCID: http://orcid.org/0000-0001-5420-279X; McConnachie, C C; Gamble, C; Dang-Tan, T; Journal Article; England; J Med Econ. 2017 Jul 11:1-4. doi: 10.1080/13696998.2017.1347793.","a Ossian Health Economics and Communications , Basel , Switzerland.; b Novo Nordisk Inc. , Plainsboro , NJ , USA.",x,,x,,
Y,Y,Y,Y,,,Liraglutide,"Hunt, B.; Mocarski, M.; Valentine, W. J.; Langer, J.",Evaluation of the long-term cost-effectiveness of IDegLira versus liraglutide added to basal insulin for patients with type 2 diabetes failing to achieve glycemic control on basal insulin in the USA,,,https://www.ncbi.nlm.nih.gov/pubmed/28294641,,,,,,,,,"The aim of the present analysis was to assess the long-term cost-effectiveness of IDegLira vs liraglutide added to basal insulin, for patients with type 2 diabetes not achieving glycemic control on basal insulin in the US setting.",Cost-effectiveness analysis,"The present long-term modeling analysis found that IDegLira was dominant vs liraglutide added to basal insulin for patients with type 2 diabetes failing to achieve glycemic control on basal insulin in the US, improving clinical outcomes and reducing direct costs.","BACKGROUND AND AIMS: IDegLira, a fixed ratio combination of insulin degludec and glucagon-like peptide-1 receptor agonist liraglutide, utilizes the complementary mechanisms of action of these two agents to improve glycemic control with low risk of hypoglycemia and avoidance of weight gain. The aim of the present analysis was to assess the long-term cost-effectiveness of IDegLira vs liraglutide added to basal insulin, for patients with type 2 diabetes not achieving glycemic control on basal insulin in the US setting. METHODS: Projections of lifetime costs and clinical outcomes were made using the IMS CORE Diabetes Model. Treatment effect data for patients receiving IDegLira and liraglutide added to basal insulin were modeled based on the outcomes of a published indirect comparison, as no head-to-head clinical trial data is currently available. Costs were accounted in 2015 US dollars ($) from a healthcare payer perspective. RESULTS: IDegLira was associated with small improvements in quality-adjusted life expectancy compared with liraglutide added to basal insulin (8.94 vs 8.91 discounted quality-adjusted life years [QALYs]). The key driver of improved clinical outcomes was the greater reduction in glycated hemoglobin associated with IDegLira. IDegLira was associated with mean costs savings of $17,687 over patient lifetimes vs liraglutide added to basal insulin, resulting from lower treatment costs and cost savings as a result of complications avoided. CONCLUSIONS: The present long-term modeling analysis found that IDegLira was dominant vs liraglutide added to basal insulin for patients with type 2 diabetes failing to achieve glycemic control on basal insulin in the US, improving clinical outcomes and reducing direct costs.",Cost; IDegLira; Usa; cost-effectiveness; liraglutide; type 2 diabetes mellitus,,,,x,,,,,x,J Med Econ,20,7,663-670,2017,Journal Article,eng,"1941-837x; Hunt, B; Mocarski, M; Valentine, W J; Langer, J; Journal Article; England; J Med Econ. 2017 Jul;20(7):663-670. doi: 10.1080/13696998.2017.1301943. Epub 2017 Mar 15.","a Ossian Health Economics and Communications , Basel , Switzerland.; b Novo Nordisk Inc. , Plainsboro , NJ , USA.; c Novo Nordisk A/S , Soborg , Denmark.",x,x,,bmi,
